PortCode,MajorPortCode,MajorPortName,CountyCode,PortName,DiscontinuedDate
802,8,LOS ANGELES,19,NEWHALL,01/01/1996
803,8,LOS ANGELES,19,RESEDA,01/01/1996
804,8,LOS ANGELES,36,ONTARIO,01/01/1996
805,8,LOS ANGELES,19,CHATSWORTH,01/01/1996
852,9,SAN DIEGO,37,POWAY,01/01/1996
853,9,SAN DIEGO,36,EARP,01/01/1996
854,8,LOS ANGELES,33,HEMET,01/01/1996
855,9,SAN DIEGO,33,THERMAL,01/01/1996
856,8,LOS ANGELES,33,PALM SPRINGS,01/01/1996
857,8,LOS ANGELES,14,TECOPA,01/01/1996
858,9,SAN DIEGO,13,PALO VERDE,01/01/1996
859,9,SAN DIEGO,37,VALLEY CENTER,01/01/1996
860,9,SAN DIEGO,37,SANTEE,01/01/1996
861,9,SAN DIEGO,37,FALLBROOK,01/01/1996
862,9,SAN DIEGO,37,SAN MARCOS,01/01/1996
863,9,SAN DIEGO,33,NORTH SHORE,01/01/1996
864,9,SAN DIEGO,37,BONITA,01/01/1996
865,9,SAN DIEGO,37,SPRING VALLEY,01/01/1996
866,9,SAN DIEGO,13,IMPERIAL,01/01/1996
867,9,SAN DIEGO,37,LEUCADIA,01/01/1996
868,9,SAN DIEGO,37,IMPERIAL BEACH,
869,9,SAN DIEGO,37,MISSION BAY,
870,9,SAN DIEGO,37,SAN YSIDRO,
872,9,SAN DIEGO,13,WINTERHAVEN,01/01/1996
873,9,SAN DIEGO,13,SALTON SEA,01/01/1996
874,8,LOS ANGELES,33,PALM CITY,01/01/1996
875,9,SAN DIEGO,13,NILAND,01/01/1996
877,9,SAN DIEGO,37,LEMON GROVE,01/01/1996
878,9,SAN DIEGO,13,EL CENTRO,01/01/1996
879,9,SAN DIEGO,37,EL CAJON,01/01/1996
880,9,SAN DIEGO,37,SAN DIEGO,
881,9,SAN DIEGO,37,POINT LOMA,
882,9,SAN DIEGO,37,NATIONAL CITY,
883,9,SAN DIEGO,37,OCEANSIDE,
884,9,SAN DIEGO,37,CORONADO,
885,9,SAN DIEGO,37,OCEAN BEACH,01/01/1996
886,9,SAN DIEGO,37,MISSION BEACH,01/01/1996
